a	ア
i	イ
u	ウ
e	エ
o	オ
ka	カ
ca	カ
ki	キ
ku	ク
cu	ク
ke	ケ
ko	コ
co	コ
kya	キャ
kyu	キュ
kyo	キョ
ga	ガ
gi	ギ
gu	グ
ge	ゲ
go	ゴ
gya	ギャ
gyu	ギュ
gyo	ギョ
sa	サ
si	シ
ci	シ
shi	シ
su	ス
se	セ
ce	セ
so	ソ
sya	シャ
sha	シャ
syu	シュ
shu	シュ
syo	ショ
sho	ショ
za	ザ
zi	ジ
ji	ジ
zu	ズ
ze	ゼ
zo	ゾ
zya	ジャ
ja	ジャ
jya	ジャ
zyu	ジュ
ju	ジュ
jyu	ジュ
zyo	ジョ
jo	ジョ
jyo	ジョ
ta	タ
ti	チ
chi	チ
tu	ツ
tsu	ツ
te	テ
to	ト
tya	チャ
cha	チャ
cya	チャ
tyu	チュ
chu	チュ
cyu	チュ
tyo	チョ
cho	チョ
cyo	チョ
da	ダ
di	ヂ
du	ヅ
de	デ
do	ド
dya	ヂャ
dyu	ヂュ
dyo	ヂョ
ltu	ッ
xtu	ッ
ltsu	ッ
xtsu	ッ
na	ナ
ni	ニ
nu	ヌ
ne	ネ
no	ノ
nya	ニャ
nyu	ニュ
nyo	ニョ
ha	ハ
hi	ヒ
hu	フ
fu	フ
he	ヘ
ho	ホ
hya	ヒャ
hyu	ヒュ
hyo	ヒョ
ba	バ
bi	ビ
bu	ブ
be	ベ
bo	ボ
bya	ビャ
byu	ビュ
byo	ビョ
pa	パ
pi	ピ
pu	プ
pe	ペ
po	ポ
pya	ピャ
pyu	ピュ
pyo	ピョ
ma	マ
mi	ミ
mu	ム
me	メ
mo	モ
mya	ミャ
myu	ミュ
myo	ミョ
ya	ヤ
yu	ユ
yo	ヨ
lya	ャ
xya	ャ
lyu	ュ
xyu	ュ
lyo	ョ
xyo	ョ
ra	ラ
ri	リ
ru	ル
re	レ
ro	ロ
rya	リャ
ryu	リュ
ryo	リョ
wa	ワ
wo	ヲ
nn	ン
xn	ン
-	ー
